fscl_yr_nb,fscl_mo_nb,fscl_mo_nm,VendorNbr,SkuNbr,Received Qty
2015,1,OCTOBER,501084,6160200,3060
2015,1,OCTOBER,516978,10140014,594
2015,1,OCTOBER,751650,4120007,1725
2015,1,OCTOBER,751650,4120064,31
2015,2,NOVEMBER,71990,4110005,216
2015,2,NOVEMBER,277875,70119702,360
2015,2,NOVEMBER,364514,79BL8880,120
2015,2,NOVEMBER,418043,70115464,36
2015,2,NOVEMBER,418043,71710033,672
2015,2,NOVEMBER,418043,71712033,144
2015,2,NOVEMBER,418043,72720003,672
2015,2,NOVEMBER,418043,74741944,360
2015,2,NOVEMBER,422837,6146029,60
2015,2,NOVEMBER,447495,10130036,600
2015,2,NOVEMBER,454231,5170008,225
2015,2,NOVEMBER,454231,5173058,70
2015,2,NOVEMBER,17911,72723056,576
2015,2,NOVEMBER,17911,74740707,648
2015,2,NOVEMBER,49070,6161631,216
2015,2,NOVEMBER,67590,1161022,2000
2015,2,NOVEMBER,187101,6160562,140
2015,2,NOVEMBER,200002,6160073,36
2015,2,NOVEMBER,200299,7161415,45
2015,2,NOVEMBER,200353,4146032,300
2015,2,NOVEMBER,200362,6160603,72
2015,2,NOVEMBER,200362,6161081,216
2015,2,NOVEMBER,200620,6156058,24
2015,2,NOVEMBER,200633,7160220,238
2015,2,NOVEMBER,200679,4116019,600
2015,2,NOVEMBER,201144,7161150,108
2015,2,NOVEMBER,200362,6160452,216
2015,2,NOVEMBER,200362,6160454,1344
2015,2,NOVEMBER,200362,6160598,360
2015,2,NOVEMBER,200362,80807363,660
2015,2,NOVEMBER,200515,79BL0980,80
2015,2,NOVEMBER,200728,6182008,12
2015,2,NOVEMBER,501084,6166198,9
2015,2,NOVEMBER,67230,6164407,7
2015,2,NOVEMBER,192801,6110024,60
2015,2,NOVEMBER,197900,7161155,250
2015,2,NOVEMBER,224938,80800012,54
2015,2,NOVEMBER,277875,79BL0880,100
2015,2,NOVEMBER,364514,79CN0065,200
2015,2,NOVEMBER,364514,79CN2025,900
2015,2,NOVEMBER,364514,79CN3016,190
2015,2,NOVEMBER,370467,7160054,350
2015,2,NOVEMBER,418043,70112734,36
2015,2,NOVEMBER,418043,70121177,2400
2015,2,NOVEMBER,418043,70128494,960
2015,2,NOVEMBER,418043,71712173,120
2015,2,NOVEMBER,418043,74742054,144
2015,2,NOVEMBER,418043,75754553,1056
2015,2,NOVEMBER,418043,76761666,120
2015,2,NOVEMBER,447495,10130034,2320
2015,2,NOVEMBER,454231,5170010,750
2015,2,NOVEMBER,454231,5173060,520
2015,2,NOVEMBER,22350,5150037,675
2015,2,NOVEMBER,23088,6142009,135
2015,2,NOVEMBER,48249,9150808,240
2015,2,NOVEMBER,49070,6166083,780
2015,2,NOVEMBER,49070,6168201,183
2015,2,NOVEMBER,59002,9150429,115
2015,2,NOVEMBER,59002,9150488,890
2015,2,NOVEMBER,76005,9150813,180
2015,2,NOVEMBER,76005,9160030,10
2015,2,NOVEMBER,292238,5150036,1800
2015,2,NOVEMBER,403545,80807053,24
2015,2,NOVEMBER,501084,5130056,20
2015,2,NOVEMBER,67230,9140060,512
2015,2,NOVEMBER,186844,6158012,1000
2015,2,NOVEMBER,195736,5110078,546
2015,2,NOVEMBER,224938,80800013,546
2015,2,NOVEMBER,277875,70119712,720
2015,2,NOVEMBER,277875,70121124,276
2015,2,NOVEMBER,358316,2127002,8083
2015,2,NOVEMBER,364514,79NR0466,200
2015,2,NOVEMBER,370467,7160035,160
2015,2,NOVEMBER,418043,70116694,672
2015,2,NOVEMBER,418043,74740294,60
2015,2,NOVEMBER,418043,75750063,240
2015,2,NOVEMBER,418043,78786126,72
2015,2,NOVEMBER,17911,70114174,180
2015,2,NOVEMBER,17911,70118394,120
2015,2,NOVEMBER,17911,77115692,360
2015,2,NOVEMBER,17911,78785823,180
2015,2,NOVEMBER,17911,78786323,60
2015,2,NOVEMBER,42948,6140131,264
2015,2,NOVEMBER,48249,9164002,96
2015,2,NOVEMBER,187101,4130019,192
2015,2,NOVEMBER,187101,4130070,68
2015,2,NOVEMBER,200002,6130005,432
2015,2,NOVEMBER,200228,4120009,1385
2015,2,NOVEMBER,200311,2115034,88700
2015,2,NOVEMBER,200353,4146031,180
2015,2,NOVEMBER,200362,6160331,216
2015,2,NOVEMBER,200362,80807363,1980
2015,2,NOVEMBER,200400,4124005,2352
2015,2,NOVEMBER,200520,4140119,600
2015,2,NOVEMBER,200728,6161007,440
2015,2,NOVEMBER,201089,6165001,180
2015,1,OCTOBER,200722,79NR9586,50
2015,1,OCTOBER,201089,6160170,105
2015,1,OCTOBER,751650,4126027,540
2015,2,NOVEMBER,364514,79BL1160,16
